state,state_code,year,population
Victoria,VIC,2021,4975319
Victoria,VIC,2022,6615232
Victoria,VIC,2023,6797169
Victoria,VIC,2024,6950961
Victoria,VIC,2025,7073859
Western Australia,WA,1920,152000
Western Australia,WA,1921,155590
Western Australia,WA,1922,161770
Western Australia,WA,1923,173770
Western Australia,WA,1924,180790
Western Australia,WA,1925,183500
Western Australia,WA,1926,188260
Western Australia,WA,1927,195080
Western Australia,WA,1928,200520
Western Australia,WA,1929,206310
Western Australia,WA,1930,211640
Western Australia,WA,1931,215800
Western Australia,WA,1932,214880
Western Australia,WA,1933,209000
Western Australia,WA,1934,211000
Western Australia,WA,1935,214000
Western Australia,WA,1936,217000
Western Australia,WA,1937,220000
Western Australia,WA,1938,223000
Western Australia,WA,1939,227000
Western Australia,WA,1940,230000
Western Australia,WA,1941,234000
Western Australia,WA,1942,239000
Western Australia,WA,1943,245000
Western Australia,WA,1944,253000
Western Australia,WA,1945,260000
Western Australia,WA,1946,268000
Western Australia,WA,1947,276000
Western Australia,WA,1948,283000
Western Australia,WA,1949,296000
Western Australia,WA,1950,313000
Western Australia,WA,1951,322000
Western Australia,WA,1952,335000
Western Australia,WA,1953,345000
Western Australia,WA,1954,348647
Western Australia,WA,1955,360000
Western Australia,WA,1956,372000
Western Australia,WA,1957,382000
Western Australia,WA,1958,391000
Western Australia,WA,1959,401000
Western Australia,WA,1960,409000
Western Australia,WA,1961,475576
Western Australia,WA,1962,491300
Western Australia,WA,1963,509200
Western Australia,WA,1964,525800
Western Australia,WA,1965,540700
Western Australia,WA,1966,559298
Western Australia,WA,1967,583800
Western Australia,WA,1968,611800
Western Australia,WA,1969,642800
Western Australia,WA,1970,671900
Western Australia,WA,1971,744600
Western Australia,WA,1972,767200
Western Australia,WA,1973,782000
Western Australia,WA,1974,803700
Western Australia,WA,1975,826400
Western Australia,WA,1976,845700
Western Australia,WA,1977,866100
Western Australia,WA,1978,884500
Western Australia,WA,1979,899200
Western Australia,WA,1980,917000
Western Australia,WA,1981,941479
Western Australia,WA,1982,973542
Western Australia,WA,1983,998576
Western Australia,WA,1984,1017871
Western Australia,WA,1985,1041608
Western Australia,WA,1986,1075959
Western Australia,WA,1987,1106882
Western Australia,WA,1988,1139494
Western Australia,WA,1989,1178097
Western Australia,WA,1990,1207701
Western Australia,WA,1991,1226115
Western Australia,WA,1992,1247523
Western Australia,WA,1993,1266704
Western Australia,WA,1994,1289836
Western Australia,WA,1995,1316658
Western Australia,WA,1996,1343355
Western Australia,WA,1997,1366707
Western Australia,WA,1998,1388787
Western Australia,WA,1999,1411070
Western Australia,WA,2000,1432115
Western Australia,WA,2001,1455361
Western Australia,WA,2002,1474536
Western Australia,WA,2003,1496016
Western Australia,WA,2004,1520232
Western Australia,WA,2005,1544977
Western Australia,WA,2006,1576912
Western Australia,WA,2007,1628467
Western Australia,WA,2008,1682860
Western Australia,WA,2009,1739342
Western Australia,WA,2010,1781132
Western Australia,WA,2011,1833567
Western Australia,WA,2012,1892862
Western Australia,WA,2013,1943855
Western Australia,WA,2014,1973923
Western Australia,WA,2015,1998937
Western Australia,WA,2016,2019263
Western Australia,WA,2017,2046413
Western Australia,WA,2018,2075953
Western Australia,WA,2019,2114184
Western Australia,WA,2020,2161561
Western Australia,WA,2021,2191838
Western Australia,WA,2022,2793934
Western Australia,WA,2023,2890936
Western Australia,WA,2024,2978147
Western Australia,WA,2025,3044382
